U	v	Z1	Z2	T	P	vf	x1	x2	y1	y2
16916.64285714286	0.0016602444444444443	0.8661432162459994	0.1338567837540006	718.9876191724838	3643903.862330789	1	0.3100354685734006	0.6899645314265993	0.8661432162459994	0.1338567837540006
16916.64285714286	0.0016602444444444443	0.851034888261239	0.14896511173876117	699.2250372828734	3539569.9905648516	1	0.2618785750006107	0.7381214249993893	0.851034888261239	0.14896511173876117
16916.64285714286	0.0014982373333333333	0.9651397724218261	0.034860227578173995	953.0964026202331	5378706.499471622	1	0.8354488733662802	0.1645511266337199	0.9651397724218261	0.034860227578173995
16916.64285714286	0.0014982373333333333	0.9545424579891726	0.04545754201082755	912.817537440877	5151591.05592218	1	0.7714786673096578	0.22852133269034225	0.9545424579891726	0.04545754201082755
16916.64285714286	0.0014982373333333333	0.9435011765438049	0.05649882345619504	876.8241929073014	4948142.010489882	1	0.7026148151423978	0.29738518485760235	0.9435011765438049	0.05649882345619504
16916.64285714286	0.0014982373333333333	0.9319874316392327	0.06801256836076741	844.3866700833671	4764237.804062062	1	0.6312303020104235	0.36876969798957654	0.9319874316392327	0.06801256836076741
16916.64285714286	0.0014982373333333333	0.9199702347479396	0.08002976525206035	814.9401563046679	4596675.427643616	1	0.5597583584959454	0.44024164150405454	0.9199702347479396	0.08002976525206035
16916.64285714286	0.0014982373333333333	0.907415826749346	0.09258417325065416	788.0363210232857	4442898.396399471	1	0.4904123552012988	0.5095876447987012	0.907415826749346	0.09258417325065416
16916.64285714286	0.0014982373333333333	0.8942873612123969	0.10571263878760319	763.31448109277	4300834.684479621	1	0.42498196256542403	0.575018037434576	0.8942873612123969	0.10571263878760319
16916.64285714286	0.0014982373333333333	0.8805445432153516	0.11945545678464838	740.4815532175008	4168783.774302245	1	0.3647322098416109	0.635267790158389	0.8805445432153516	0.11945545678464838
16916.64285714286	0.0014982373333333333	0.8661432162459994	0.1338567837540006	719.2951565569356	4045320.7538375445	1	0.31039715509833843	0.6896028449016615	0.8661432162459994	0.1338567837540006
16916.64285714286	0.0014982373333333333	0.851034888261239	0.14896511173876117	699.5543114111147	3929243.3050002675	1	0.2622485981736661	0.7377514018263339	0.851034888261239	0.14896511173876117
